Company Name,Industry,Symbol
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE
Firstsource Solutions Ltd.,IT,FSL
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS
Future Consumer Ltd.,CONSUMER SERVICES,FCONSUMER
Future Retail Ltd.,CONSUMER SERVICES,FRETAIL
GAIL (India) Ltd.,OIL & GAS,GAIL
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL
GHCL Ltd.,CHEMICALS,GHCL
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE
Gillette India Ltd.,CONSUMER GOODS,GILLETTE
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP
Granules India Ltd.,PHARMA,GRANULES
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI
Gujarat Ambuja Exports Ltd.,CONSUMER GOODS,GAEL
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC
Gujarat Pipavav Port Ltd.,SERVICES,GPPL
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC
Gujarat State Petronet Ltd.,OIL & GAS,GSPL
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG
HCL Technologies Ltd.,IT,HCLTECH
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE
HFCL Ltd.,TELECOM,HFCL
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN
Havells India Ltd.,CONSUMER GOODS,HAVELLS
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG
Hemisphere Properties India Ltd.,CONSTRUCTION,HEMIPROP
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL
Hindalco Industries Ltd.,METALS,HINDALCO
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL
Hindustan Copper Ltd.,METALS,HINDCOPPER
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR
Hindustan Zinc Ltd.,METALS,HINDZINC
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC
Huhtamaki India Ltd.,INDUSTRIAL MANUFACTURING,HUHTAMAKI
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB
IDFC Ltd.,FINANCIAL SERVICES,IDFC
IFB Industries Ltd.,CONSUMER GOODS,IFBIND
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL
IIFL Wealth Management Ltd.,FINANCIAL SERVICES,IIFLWAM
IOL Chem and Pharma Ltd.,PHARMA,IOLCP
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB
IRCON International Ltd.,CONSTRUCTION,IRCON
ITC Ltd.,CONSUMER GOODS,ITC
ITI Ltd.,TELECOM,ITI
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST
Indiamart Intermesh Ltd.,CONSUMER SERVICES,INDIAMART
Indian Bank,FINANCIAL SERVICES,INDIANB
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX
Indian Hotels Co. Ltd.,CONSUMER SERVICES,INDHOTEL
